"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 18 16:35:06 MSK 2025","Mon Aug 18 16:35:08 MSK 2025","2508","","ApiTests","","ApiTests","checkUserRegisterWithSuccess","Тестирование регистрации пользователя Регистрация пользователя с валидными данными и ожидаемым ответом: 200",""
"passed","Mon Aug 18 16:35:10 MSK 2025","Mon Aug 18 16:35:11 MSK 2025","404","","ApiTests","","ApiTests","checkUserAuthWithSuccess","Тестирование авторизации пользователя с валидными данными Авторизация пользователя с невалидными данными и ожидаемым ответом: 401",""
"passed","Mon Aug 18 16:35:16 MSK 2025","Mon Aug 18 16:35:16 MSK 2025","190","","ApiTests","","ApiTests","verifyAuthUnauthorizedError","Проверка ошибки 401 при неверных учетных данных",""
"passed","Mon Aug 18 16:35:26 MSK 2025","Mon Aug 18 16:35:28 MSK 2025","1284","","ApiTests","","ApiTests","checkCreateOrderWithSuccess","Тестирование создания заказа Создание заказа без ингредиентов и ожидаемым ответом: 400",""
"passed","Mon Aug 18 16:35:12 MSK 2025","Mon Aug 18 16:35:14 MSK 2025","1276","","ApiTests","","ApiTests","verifyEditUserSuccessResponseBody","Проверка тела ответа при успешном редактировании пользователя",""
"passed","Mon Aug 18 16:35:11 MSK 2025","Mon Aug 18 16:35:12 MSK 2025","1287","","ApiTests","","ApiTests","verifyAuthSuccessResponseBody","Проверка тела ответа при успешной авторизации",""
"passed","Mon Aug 18 16:35:15 MSK 2025","Mon Aug 18 16:35:15 MSK 2025","259","","ApiTests","","ApiTests","verifyErrorRegisterResponseBody","Проверка тела ответа при ошибке регистрации",""
"passed","Mon Aug 18 16:35:14 MSK 2025","Mon Aug 18 16:35:15 MSK 2025","1300","","ApiTests","","ApiTests","checkCreateOrderWithoutToken","Тестирование создания заказа без авторизации",""
"passed","Mon Aug 18 16:35:16 MSK 2025","Mon Aug 18 16:35:20 MSK 2025","3830","","ApiTests","","ApiTests","checkUserOrderWithoutToken","Тестирование получения заказов без токена",""
"passed","Mon Aug 18 16:35:15 MSK 2025","Mon Aug 18 16:35:16 MSK 2025","829","","ApiTests","","ApiTests","verifyRegisterResponseBodyStructure","Проверка тела ответа при успешной регистрации",""
"passed","Mon Aug 18 16:35:34 MSK 2025","Mon Aug 18 16:35:38 MSK 2025","3894","","ApiTests","","ApiTests","checkUserOrderWithSuccess","Тестирование получения заказов",""
"passed","Mon Aug 18 16:35:30 MSK 2025","Mon Aug 18 16:35:31 MSK 2025","1291","","ApiTests","","ApiTests","checkUserEditWithFailure","Тестирование изменения пользователя с невалидными даннымиЯ бы сделал нормально, но апи не работает нормальноЯ могу поменять значения на нулиМогу ввести невалидный email [1] EditUserRequest(email=null, name=null)",""
"passed","Mon Aug 18 16:35:21 MSK 2025","Mon Aug 18 16:35:25 MSK 2025","3632","","ApiTests","","ApiTests","checkCreateOrderWithSuccess","Тестирование создания заказа Создание заказа c валидными данными и ожидаемым ответом: 200",""
"passed","Mon Aug 18 16:35:09 MSK 2025","Mon Aug 18 16:35:09 MSK 2025","276","","ApiTests","","ApiTests","checkUserRegisterWithSuccess","Тестирование регистрации пользователя Регистрация пользователя с невалидными данными и ожидаемым ответом: 500",""
"passed","Mon Aug 18 16:35:25 MSK 2025","Mon Aug 18 16:35:26 MSK 2025","1293","","ApiTests","","ApiTests","checkCreateOrderWithSuccess","Тестирование создания заказа Создание заказа без булки (имитируя Frontend он блокирует возможность создавать бургер без булки) и ожидаемым ответом: 500",""
"passed","Mon Aug 18 16:35:11 MSK 2025","Mon Aug 18 16:35:11 MSK 2025","349","","ApiTests","","ApiTests","checkUserAuthWithSuccess","Тестирование авторизации пользователя с валидными данными Авторизация пользователя с пустыми данными и ожидаемым ответом: 401",""
"passed","Mon Aug 18 16:35:09 MSK 2025","Mon Aug 18 16:35:10 MSK 2025","1126","","ApiTests","","ApiTests","checkUserAuthWithSuccess","Тестирование авторизации пользователя с валидными данными Авторизация пользователя с валидными данными и ожидаемым ответом: 200",""
"passed","Mon Aug 18 16:35:20 MSK 2025","Mon Aug 18 16:35:21 MSK 2025","1285","","ApiTests","","ApiTests","checkUserEditWithoutToken","Тестирование изменения пользователя с валидными данными",""
"passed","Mon Aug 18 16:35:29 MSK 2025","Mon Aug 18 16:35:30 MSK 2025","1278","","ApiTests","","ApiTests","checkUserEditWithSuccess","Тестирование изменения пользователя с валидными данными",""
"passed","Mon Aug 18 16:35:28 MSK 2025","Mon Aug 18 16:35:29 MSK 2025","1256","","ApiTests","","ApiTests","checkCreateOrderWithSuccess","Тестирование создания заказа Создание заказа с невалидными данными и ожидаемым ответом: 500",""
"passed","Mon Aug 18 16:35:31 MSK 2025","Mon Aug 18 16:35:34 MSK 2025","2282","","ApiTests","","ApiTests","checkUserEditWithFailure","Тестирование изменения пользователя с невалидными даннымиЯ бы сделал нормально, но апи не работает нормальноЯ могу поменять значения на нулиМогу ввести невалидный email [2] EditUserRequest(email=Dona, name=noelle.cremin@example.com)",""
"passed","Mon Aug 18 16:35:09 MSK 2025","Mon Aug 18 16:35:09 MSK 2025","173","","ApiTests","","ApiTests","checkUserRegisterWithSuccess","Тестирование регистрации пользователя Регистрация пользователя с пустыми данными и ожидаемым ответом: 403",""
